[2025-05-17 22:07:14.098] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1584.590 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:07:29.099] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1576.688 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:07:44.101] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1589.191 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:07:59.103] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1608.902 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:08:14.105] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1582.184 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:08:29.107] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1594.961 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:08:44.109] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1575.434 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:08:59.110] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1559.547 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:09:14.112] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1581.047 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:09:29.113] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1544.441 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:09:44.115] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1563.805 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:09:59.117] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1575.102 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:10:14.118] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1559.105 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:10:29.120] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1572.348 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:10:44.121] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1573.465 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:10:59.123] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1584.660 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:11:14.125] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1572.082 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:11:29.126] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1581.719 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:11:44.128] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1586.387 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:11:59.129] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1548.426 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:12:14.130] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1597.648 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:12:29.132] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1555.184 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:12:44.134] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1563.875 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:12:59.135] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1597.160 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:13:14.137] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1570.801 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:13:29.138] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1569.258 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:13:44.140] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1580.996 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:13:59.141] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1537.883 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:14:14.143] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1581.734 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:14:29.144] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1578.410 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:14:44.146] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1561.523 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:14:59.147] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1553.059 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:15:14.149] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1570.695 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:15:29.151] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1566.391 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:15:44.152] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1598.309 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:15:59.153] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1576.309 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:16:14.155] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1590.566 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:16:29.157] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1588.625 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:16:44.159] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1574.773 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:16:59.161] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1577.117 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:17:14.162] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1576.758 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:17:29.164] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1572.586 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:17:44.166] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1585.273 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:17:59.167] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1573.934 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:18:14.169] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1559.637 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:18:29.171] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1552.551 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:18:44.172] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1562.918 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:18:59.174] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1582.910 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:19:14.176] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1555.578 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:19:29.829] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1609.422 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:19:44.831] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1576.355 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:19:59.835] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1543.535 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:20:14.836] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1593.312 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:20:29.838] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1550.941 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:20:44.839] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1535.152 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:20:59.841] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1533.559 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:21:14.842] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1576.934 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:21:29.844] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1560.723 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:21:44.845] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1551.918 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:21:59.847] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1505.281 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:22:14.849] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1543.012 MB, proc_mem_usage=-0.000 MB
[2025-05-17 22:22:29.850] [monitor] [info] [graph_server.cpp:338] System Memory Usage: sys_total=7701.566 MB, sys_avail=1529.602 MB, proc_mem_usage=-0.000 MB
